number,value,params_fast_period,params_slow_period,params_stop_loss_pct,params_stop_loss_type,params_take_profit_atr_mult,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
202,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
203,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
204,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
205,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
206,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
207,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
208,-2.2893939255326448,5,50,0.045000000000000005,trailing,5.0,8.017583905347328e-06,10037.029452041368,10000.0,3.0,0.4940452974761088,37.02945204136813,0.0037029452041368316,-2.2893939255326448,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961061803651185,6.0,3.0
209,-2.2893939255326448,5,50,0.045000000000000005,trailing,5.0,8.017583905347328e-06,10037.029452041368,10000.0,3.0,0.4940452974761088,37.02945204136813,0.0037029452041368316,-2.2893939255326448,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961061803651185,6.0,3.0
210,-2.2893939255326448,5,50,0.045000000000000005,trailing,5.0,8.017583905347328e-06,10037.029452041368,10000.0,3.0,0.4940452974761088,37.02945204136813,0.0037029452041368316,-2.2893939255326448,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961061803651185,6.0,3.0
211,-2.2893939255326448,5,50,0.045000000000000005,trailing,5.0,8.017583905347328e-06,10037.029452041368,10000.0,3.0,0.4940452974761088,37.02945204136813,0.0037029452041368316,-2.2893939255326448,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961061803651185,6.0,3.0
212,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
213,-2.2893939255326448,5,50,0.045000000000000005,trailing,5.0,8.017583905347328e-06,10037.029452041368,10000.0,3.0,0.4940452974761088,37.02945204136813,0.0037029452041368316,-2.2893939255326448,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0036961061803651185,6.0,3.0
214,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
215,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
216,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
217,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
218,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
219,-1.9742350241070672,6,50,0.045000000000000005,trailing,5.0,3.010918499700383e-06,10013.889971926217,10000.0,3.0,0.4360867408104216,13.889971926217186,0.0013889971926217548,-1.9742350241070672,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880334283618765,5.0,2.0
220,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
221,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
222,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
223,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
224,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
225,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
226,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
