number,value,params_fast_period,params_slow_period,params_stop_loss_pct,params_stop_loss_type,params_take_profit_atr_mult,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
237,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
238,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
239,-3.4035776047160224,6,50,0.01,trailing,5.0,4.246540247349313e-06,10019.595725117193,10000.0,5.0,0.18443459863176298,19.59572511719307,0.0019595725117194096,-3.4035776047160224,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.01, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0019576550540280333,7.0,2.0
240,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
241,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
242,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
243,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
244,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
245,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
246,-1.9742345543783886,6,50,0.045000000000000005,trailing,5.0,3.010921725221127e-06,10013.889986816523,10000.0,3.0,0.4360867401646862,13.88998681652265,0.0013889986816522093,-1.9742345543783886,"{'fast_period': 6, 'slow_period': 50, 'stop_loss_pct': 0.045000000000000005, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013880349153269395,5.0,2.0
