number,value,params_atr_period,params_avoid_strong_trend,params_bb_dev,params_bb_period,params_reentry_cooldown_bars,params_rsi_exit,params_rsi_oversold,params_rsi_period,params_stop_loss_atr_mult,params_stop_loss_type,params_take_profit_atr_mult,params_take_profit_pct,params_take_profit_type,params_trend_long_period,params_use_invalidation,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
148,-1.0,26.0,False,3.0,30.0,5.0,45.0,25.0,28.0,3.0,,3.5,,,250.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 250, 'avoid_strong_trend': False, 'rsi_period': 28, 'rsi_oversold': 25, 'rsi_exit': 45, 'bb_period': 30, 'bb_dev': 3.0, 'use_invalidation': False, 'reentry_cooldown_bars': 5, 'atr_period': 26, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 3.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
149,-1.0,26.0,False,3.0,30.0,5.0,45.0,25.0,28.0,3.0,,4.0,,,250.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 250, 'avoid_strong_trend': False, 'rsi_period': 28, 'rsi_oversold': 25, 'rsi_exit': 45, 'bb_period': 30, 'bb_dev': 3.0, 'use_invalidation': False, 'reentry_cooldown_bars': 5, 'atr_period': 26, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 4.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
150,-1.0,26.0,False,3.0,30.0,5.0,45.0,25.0,28.0,3.0,,4.5,,,250.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 250, 'avoid_strong_trend': False, 'rsi_period': 28, 'rsi_oversold': 25, 'rsi_exit': 45, 'bb_period': 30, 'bb_dev': 3.0, 'use_invalidation': False, 'reentry_cooldown_bars': 5, 'atr_period': 26, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 4.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
151,-15.944652570013204,28.0,False,1.75,15.0,10.0,45.0,20.0,10.0,4.0,,4.0,,,290.0,True,1.9840474110656956e-06,10054.211708490735,10000.0,0.0,0.15758933902594374,54.211708490734964,0.005421170849073453,-15.944652570013204,"{'trend_long_period': 290, 'avoid_strong_trend': False, 'rsi_period': 10, 'rsi_oversold': 20, 'rsi_exit': 45, 'bb_period': 15, 'bb_dev': 1.75, 'use_invalidation': True, 'reentry_cooldown_bars': 10, 'atr_period': 28, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 4.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00540652919515402,6.0,6.0
152,-17.41105367796522,28.0,False,2.5,15.0,3.0,45.0,20.0,10.0,4.0,,4.0,,,290.0,True,1.0923535951290366e-06,10029.810982087358,10000.0,0.0,0.15797334830199147,29.810982087357843,0.0029810982087357107,-17.41105367796522,"{'trend_long_period': 290, 'avoid_strong_trend': False, 'rsi_period': 10, 'rsi_oversold': 20, 'rsi_exit': 45, 'bb_period': 15, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 3, 'atr_period': 28, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 4.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0029766635467266245,3.0,3.0
153,-79.13129708260777,28.0,False,2.5,15.0,3.0,45.0,20.0,10.0,4.0,,2.0,,,150.0,True,2.7058484674081696e-07,10007.37615612065,10000.0,0.0,0.15134259524984423,7.376156120650194,0.0007376156120650901,-79.13129708260777,"{'trend_long_period': 150, 'avoid_strong_trend': False, 'rsi_period': 10, 'rsi_oversold': 20, 'rsi_exit': 45, 'bb_period': 15, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 3, 'atr_period': 28, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0007373437073687262,4.0,4.0
154,-1.0,10.0,False,2.5,15.0,10.0,50.0,20.0,18.0,4.0,,2.0,,,290.0,True,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 290, 'avoid_strong_trend': False, 'rsi_period': 18, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 15, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 10, 'atr_period': 10, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
155,-79.13129708260777,10.0,False,2.5,15.0,3.0,50.0,20.0,10.0,4.0,,2.0,,,160.0,True,2.7058484674081696e-07,10007.37615612065,10000.0,0.0,0.15134259524984423,7.376156120650194,0.0007376156120650901,-79.13129708260777,"{'trend_long_period': 160, 'avoid_strong_trend': False, 'rsi_period': 10, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 15, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 3, 'atr_period': 10, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0007373437073687262,4.0,4.0
156,-80.81625733589703,10.0,False,2.5,15.0,10.0,50.0,20.0,10.0,4.0,,2.0,,,290.0,True,2.3670672679160487e-07,10006.452339044034,10000.0,0.0,0.15135656917377457,6.452339044033579,0.0006452339044034083,-80.81625733589703,"{'trend_long_period': 290, 'avoid_strong_trend': False, 'rsi_period': 10, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 15, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 10, 'atr_period': 10, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0006450258305071233,3.0,3.0
157,-81.45253611258755,10.0,False,2.5,25.0,3.0,50.0,20.0,10.0,4.0,,2.0,,,150.0,True,2.721288093508672e-07,10007.418260224034,10000.0,0.0,0.15134195843249448,7.418260224034384,0.000741826022403469,-81.45253611258755,"{'trend_long_period': 150, 'avoid_strong_trend': False, 'rsi_period': 10, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 25, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 3, 'atr_period': 10, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0007415510054811132,4.0,4.0
158,-1.0,18.0,False,2.5,20.0,7.0,50.0,20.0,18.0,3.5,,2.0,,,240.0,True,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 240, 'avoid_strong_trend': False, 'rsi_period': 18, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 20, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 7, 'atr_period': 18, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
159,-1.0,24.0,False,2.5,20.0,7.0,50.0,20.0,18.0,3.5,,2.0,,,240.0,True,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 240, 'avoid_strong_trend': False, 'rsi_period': 18, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 20, 'bb_dev': 2.5, 'use_invalidation': True, 'reentry_cooldown_bars': 7, 'atr_period': 24, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
160,-1.0,24.0,False,2.5,20.0,8.0,50.0,20.0,18.0,3.5,,2.0,,,270.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 270, 'avoid_strong_trend': False, 'rsi_period': 18, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 20, 'bb_dev': 2.5, 'use_invalidation': False, 'reentry_cooldown_bars': 8, 'atr_period': 24, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 2.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
161,-1.0,10.0,False,2.5,20.0,8.0,50.0,20.0,14.0,3.5,,2.5,,,270.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 270, 'avoid_strong_trend': False, 'rsi_period': 14, 'rsi_oversold': 20, 'rsi_exit': 50, 'bb_period': 20, 'bb_dev': 2.5, 'use_invalidation': False, 'reentry_cooldown_bars': 8, 'atr_period': 10, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 2.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
162,-32.46533129966522,30.0,False,2.75,20.0,9.0,60.0,25.0,14.0,4.0,,3.0,,,260.0,False,5.05822480234968e-07,10013.793166420204,10000.0,0.0,0.15797745189650597,13.793166420204216,0.0013793166420204006,-32.46533129966522,"{'trend_long_period': 260, 'avoid_strong_trend': False, 'rsi_period': 14, 'rsi_oversold': 25, 'rsi_exit': 60, 'bb_period': 20, 'bb_dev': 2.75, 'use_invalidation': False, 'reentry_cooldown_bars': 9, 'atr_period': 30, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 3.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0013783662586402878,3.0,3.0
163,-1.0,30.0,True,2.25,20.0,6.0,45.0,25.0,26.0,3.0,,3.5,,,240.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 240, 'avoid_strong_trend': True, 'rsi_period': 26, 'rsi_oversold': 25, 'rsi_exit': 45, 'bb_period': 20, 'bb_dev': 2.25, 'use_invalidation': False, 'reentry_cooldown_bars': 6, 'atr_period': 30, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 3.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
164,-265.62102014205675,30.0,True,2.75,20.0,9.0,60.0,25.0,14.0,3.5,,3.0,,,260.0,False,4.799749883887767e-08,10001.308017381374,10000.0,0.0,0.009734284435437968,1.3080173813741567,0.00013080173813739826,-265.62102014205675,"{'trend_long_period': 260, 'avoid_strong_trend': True, 'rsi_period': 14, 'rsi_oversold': 25, 'rsi_exit': 60, 'bb_period': 20, 'bb_dev': 2.75, 'use_invalidation': False, 'reentry_cooldown_bars': 9, 'atr_period': 30, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 3.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00013079318433594165,1.0,1.0
165,-265.62102014205675,30.0,True,2.75,20.0,9.0,60.0,25.0,14.0,3.5,,3.0,,,260.0,False,4.799749883887767e-08,10001.308017381374,10000.0,0.0,0.009734284435437968,1.3080173813741567,0.00013080173813739826,-265.62102014205675,"{'trend_long_period': 260, 'avoid_strong_trend': True, 'rsi_period': 14, 'rsi_oversold': 25, 'rsi_exit': 60, 'bb_period': 20, 'bb_dev': 2.75, 'use_invalidation': False, 'reentry_cooldown_bars': 9, 'atr_period': 30, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 3.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00013079318433594165,1.0,1.0
166,-1.0,22.0,True,2.25,20.0,6.0,45.0,25.0,26.0,3.0,,3.5,,,260.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 260, 'avoid_strong_trend': True, 'rsi_period': 26, 'rsi_oversold': 25, 'rsi_exit': 45, 'bb_period': 20, 'bb_dev': 2.25, 'use_invalidation': False, 'reentry_cooldown_bars': 6, 'atr_period': 22, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 3.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
167,-1.0,22.0,True,2.25,20.0,6.0,45.0,25.0,26.0,3.0,,3.5,,,260.0,False,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,,"{'trend_long_period': 260, 'avoid_strong_trend': True, 'rsi_period': 26, 'rsi_oversold': 25, 'rsi_exit': 45, 'bb_period': 20, 'bb_dev': 2.25, 'use_invalidation': False, 'reentry_cooldown_bars': 6, 'atr_period': 22, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 3.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0,0.0,0.0
