number,value,params_overbought_level,params_oversold_level,params_rsi_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
47,-6.197442403300364,65,45,14,1.4200866721908328e-06,10038.772332782539,10000.0,8,0.7406795960511032,38.7723327825388,0.0038772332782539554,-6.197442403300364,"{'rsi_period': 14, 'oversold_level': 45, 'overbought_level': 65}",0.003869736181720019,28,20
48,-6.197442403300364,65,45,14,1.4200866721908328e-06,10038.772332782539,10000.0,8,0.7406795960511032,38.7723327825388,0.0038772332782539554,-6.197442403300364,"{'rsi_period': 14, 'oversold_level': 45, 'overbought_level': 65}",0.003869736181720019,28,20
49,-6.197442403300364,65,45,14,1.4200866721908328e-06,10038.772332782539,10000.0,8,0.7406795960511032,38.7723327825388,0.0038772332782539554,-6.197442403300364,"{'rsi_period': 14, 'oversold_level': 45, 'overbought_level': 65}",0.003869736181720019,28,20
50,-2.3878354422601995,80,35,16,9.243240749506449e-06,10255.077246202583,10000.0,0,0.8406358029397313,255.0772462025834,0.02550772462025841,-2.3878354422601995,"{'rsi_period': 16, 'oversold_level': 35, 'overbought_level': 80}",0.025187831042405073,5,4
51,-2.3878354422601995,80,35,16,9.243240749506449e-06,10255.077246202583,10000.0,0,0.8406358029397313,255.0772462025834,0.02550772462025841,-2.3878354422601995,"{'rsi_period': 16, 'oversold_level': 35, 'overbought_level': 80}",0.025187831042405073,5,4
52,-2.4002460219123205,80,50,16,8.9510170238317e-06,10246.914279760509,10000.0,0,0.8413062785476945,246.9142797605091,0.02469142797605084,-2.4002460219123205,"{'rsi_period': 16, 'oversold_level': 50, 'overbought_level': 80}",0.02439152138994138,5,4
53,-3.15351603485053,80,50,10,7.651847672523996e-06,10210.701917979919,10000.0,2,0.7313134766560142,210.70191797991902,0.021070191797991855,-3.15351603485053,"{'rsi_period': 10, 'oversold_level': 50, 'overbought_level': 80}",0.02085128490762789,18,15
54,-3.15351603485053,80,50,10,7.651847672523996e-06,10210.701917979919,10000.0,2,0.7313134766560142,210.70191797991902,0.021070191797991855,-3.15351603485053,"{'rsi_period': 10, 'oversold_level': 50, 'overbought_level': 80}",0.02085128490762789,18,15
55,-3.608929179740817,80,35,10,7.1214884703282e-06,10195.955775576238,10000.0,3,0.7323736384025962,195.955775576238,0.019595577557623756,-3.608929179740817,"{'rsi_period': 10, 'oversold_level': 35, 'overbought_level': 80}",0.019406056081644345,13,9
56,-3.15351603485053,80,50,10,7.651847672523996e-06,10210.701917979919,10000.0,2,0.7313134766560142,210.70191797991902,0.021070191797991855,-3.15351603485053,"{'rsi_period': 10, 'oversold_level': 50, 'overbought_level': 80}",0.02085128490762789,18,15
57,-3.608929179740817,80,35,10,7.1214884703282e-06,10195.955775576238,10000.0,3,0.7323736384025962,195.955775576238,0.019595577557623756,-3.608929179740817,"{'rsi_period': 10, 'oversold_level': 35, 'overbought_level': 80}",0.019406056081644345,13,9
