number,value,params_overbought_level,params_oversold_level,params_rsi_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
129,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
130,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
131,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
132,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
133,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
134,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
135,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
136,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
137,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
138,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
139,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
140,-2.932573763169339,80,45,12,7.0098009233146866e-06,10192.853123228744,10000.0,1,0.7325970925582307,192.85312322874415,0.01928531232287445,-2.932573763169339,"{'rsi_period': 12, 'oversold_level': 45, 'overbought_level': 80}",0.01910170751603252,11,9
141,-2.932573763169339,80,45,12,7.0098009233146866e-06,10192.853123228744,10000.0,1,0.7325970925582307,192.85312322874415,0.01928531232287445,-2.932573763169339,"{'rsi_period': 12, 'oversold_level': 45, 'overbought_level': 80}",0.01910170751603252,11,9
142,-2.932573763169339,80,45,12,7.0098009233146866e-06,10192.853123228744,10000.0,1,0.7325970925582307,192.85312322874415,0.01928531232287445,-2.932573763169339,"{'rsi_period': 12, 'oversold_level': 45, 'overbought_level': 80}",0.01910170751603252,11,9
143,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
144,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
145,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
146,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
147,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
148,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
149,-2.1127131821302454,80,45,18,9.74828656440068e-06,10269.200511020466,10000.0,0,0.8394782911748564,269.20051102046637,0.02692005110204665,-2.1127131821302454,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564080887991854,5,4
