number,value,params_atr_period,params_pullback_ma_period,params_reentry_cooldown_bars,params_require_volume_confirm,params_rsi_min,params_rsi_period,params_stop_loss_atr_mult,params_stop_loss_pct,params_take_profit_atr_mult,params_trend_long_period,params_trend_mid_period,params_use_invalidation,params_vol_ma_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
10,-25.26078079407692,30.0,14,9,True,60,24,2.0,,4.5,190,60,False,25,3.733232436148997e-08,10001.017357586165,10000.0,4,0.18089790949156553,1.0173575861645077,0.00010173575861638362,-25.26078079407692,"{'trend_long_period': 190, 'trend_mid_period': 60, 'pullback_ma_period': 14, 'rsi_period': 24, 'rsi_min': 60, 'vol_ma_period': 25, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 9, 'atr_period': 30, 'stop_loss_atr_mult': 2.0, 'take_profit_atr_mult': 4.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00010173058388506016,6,2
11,-5.570424675655747,20.0,12,5,False,50,20,3.5,,2.5,200,55,False,30,5.205973123059333e-07,10014.196344042764,10000.0,12,0.7900806590306457,14.196344042764395,0.0014196344042765041,-5.570424675655747,"{'trend_long_period': 200, 'trend_mid_period': 55, 'pullback_ma_period': 12, 'rsi_period': 20, 'rsi_min': 50, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': False, 'reentry_cooldown_bars': 5, 'atr_period': 20, 'stop_loss_atr_mult': 3.5, 'take_profit_atr_mult': 2.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0014186276760336683,38,25
12,-13.607202589084812,28.0,30,0,False,55,24,1.5,,3.0,260,75,True,25,7.42407908805636e-07,10020.251093212044,10000.0,2,0.28238608877452337,20.251093212043997,0.002025109321204477,-13.607202589084812,"{'trend_long_period': 260, 'trend_mid_period': 75, 'pullback_ma_period': 30, 'rsi_period': 24, 'rsi_min': 55, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 0, 'atr_period': 28, 'stop_loss_atr_mult': 1.5, 'take_profit_atr_mult': 3.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.002023061551495358,8,6
13,-3.9859722418850296,18.0,10,6,False,50,16,3.0,,6.0,300,70,True,30,1.3662940220834934e-06,10037.30090747287,10000.0,15,0.7656689257387701,37.300907472870676,0.0037300907472870293,-3.9859722418850296,"{'trend_long_period': 300, 'trend_mid_period': 70, 'pullback_ma_period': 10, 'rsi_period': 16, 'rsi_min': 50, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 6, 'atr_period': 18, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0037231512101775196,30,14
14,-3.9859722418850296,18.0,10,6,False,50,16,3.0,,6.0,300,70,True,30,1.3662940220834934e-06,10037.30090747287,10000.0,15,0.7656689257387701,37.300907472870676,0.0037300907472870293,-3.9859722418850296,"{'trend_long_period': 300, 'trend_mid_period': 70, 'pullback_ma_period': 10, 'rsi_period': 16, 'rsi_min': 50, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 6, 'atr_period': 18, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0037231512101775196,30,14
15,-3.9859722418850296,18.0,10,6,False,50,16,3.0,,6.0,300,70,True,30,1.3662940220834934e-06,10037.30090747287,10000.0,15,0.7656689257387701,37.300907472870676,0.0037300907472870293,-3.9859722418850296,"{'trend_long_period': 300, 'trend_mid_period': 70, 'pullback_ma_period': 10, 'rsi_period': 16, 'rsi_min': 50, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 6, 'atr_period': 18, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0037231512101775196,30,14
16,-4.914904092651915,18.0,30,6,False,50,16,3.0,,6.0,300,70,True,30,2.6370687340834586e-06,10072.118936441775,10000.0,10,0.7305773829534141,72.11893644177508,0.007211893644177403,-4.914904092651915,"{'trend_long_period': 300, 'trend_mid_period': 70, 'pullback_ma_period': 30, 'rsi_period': 16, 'rsi_min': 50, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 6, 'atr_period': 18, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.007186012300377425,22,11
17,-4.622108247804167,18.0,10,6,True,45,18,3.0,,6.0,300,30,False,20,6.556098451660268e-07,10017.881336357736,10000.0,15,0.5639358738414944,17.881336357735563,0.001788133635773459,-4.622108247804167,"{'trend_long_period': 300, 'trend_mid_period': 30, 'pullback_ma_period': 10, 'rsi_period': 18, 'rsi_min': 45, 'vol_ma_period': 20, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 6, 'atr_period': 18, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0017865368280774228,26,11
18,-4.05348408652531,24.0,10,10,True,45,8,2.5,,4.0,290,30,False,20,8.839433077062889e-07,10024.116488716563,10000.0,16,0.5882855969852523,24.116488716563254,0.0024116488716563467,-4.05348408652531,"{'trend_long_period': 290, 'trend_mid_period': 30, 'pullback_ma_period': 10, 'rsi_period': 8, 'rsi_min': 45, 'vol_ma_period': 20, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 10, 'atr_period': 24, 'stop_loss_atr_mult': 2.5, 'take_profit_atr_mult': 4.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0024087455134996372,30,13
19,-4.0384667800921665,18.0,10,10,True,45,16,2.5,,6.0,300,30,False,20,1.0999928172760623e-07,10002.997929716414,10000.0,15,0.6682723863565623,2.997929716413637,0.0002997929716412884,-4.0384667800921665,"{'trend_long_period': 300, 'trend_mid_period': 30, 'pullback_ma_period': 10, 'rsi_period': 16, 'rsi_min': 45, 'vol_ma_period': 20, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 10, 'atr_period': 18, 'stop_loss_atr_mult': 2.5, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00029974804270772697,24,9
