fold,train_start,train_end,test_start,test_end,train_sharpe,test_sharpe,train_total_trades,test_total_trades,train_max_dd,test_max_dd,best_params
fold_01,2019-01-02 06:00:00+01:00,2021-12-31 06:00:00+01:00,2022-01-03 06:00:00+01:00,2022-07-01 06:00:00+02:00,-10.708851387534091,,9,2,0.0822555798704481,0.16034267696864693,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_02,2019-01-02 06:00:00+01:00,2022-07-01 06:00:00+02:00,2022-07-05 06:00:00+02:00,2022-12-30 06:00:00+01:00,-8.612574808571944,,12,2,0.20277822566655046,0.1325649320030243,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_03,2019-01-02 06:00:00+01:00,2022-12-30 06:00:00+01:00,2023-01-03 06:00:00+01:00,2023-06-30 06:00:00+02:00,-7.83234887237659,,15,0,0.25378217863694463,0.0,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_04,2019-01-02 06:00:00+01:00,2023-06-30 06:00:00+02:00,2023-07-03 06:00:00+02:00,2024-01-02 06:00:00+01:00,-8.388853278308105,-70.23939970774443,16,2,0.25378217863694463,0.06070374952367274,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_05,2019-01-02 06:00:00+01:00,2023-12-29 06:00:00+01:00,2024-01-02 06:00:00+01:00,2024-07-02 06:00:00+02:00,-8.76454316641099,,19,1,0.36329375049906804,0.01262436088193703,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_06,2019-01-02 06:00:00+01:00,2024-07-01 06:00:00+02:00,2024-07-02 06:00:00+02:00,2025-01-02 06:00:00+01:00,-9.319312632021063,-20.99247065594686,21,2,0.36329375049906804,0.11251641996391924,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_07,2019-01-02 06:00:00+01:00,2024-12-31 06:00:00+01:00,2025-01-02 06:00:00+01:00,2025-07-02 06:00:00+02:00,-8.683861134160624,,24,2,0.36329375049906804,0.11224003298479147,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
fold_08,2019-01-02 06:00:00+01:00,2025-07-01 06:00:00+02:00,2025-07-02 06:00:00+02:00,2025-10-31 05:00:00+01:00,-8.449283386141987,,27,0,0.36329375049906804,0.0,"{""fast_period"": 6, ""slow_period"": 45, ""stop_loss_pct"": 0.01, ""take_profit_atr_mult"": 5.0}"
